"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"435","Anas platyrhynchos","Mallard","Anatidae (Ducks, Geese, Swans)","LC"
"458","Anas eatoni","Southern Pintail","Anatidae (Ducks, Geese, Swans)","VU"
"30073","Anas marecula","Amsterdam Duck","Anatidae (Ducks, Geese, Swans)","EX"
"459","Anas georgica","Yellow-billed Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"32680","Anas flavirostris","Yellow-billed Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3637","Podiceps major","Great Grebe","Podicipedidae (Grebes)","LC"
"2556","Zenaida auriculata","Eared Dove","Columbidae (Pigeons, Doves)","LC"
"2922","Pardirallus sanguinolentus","Plumbeous Rail","Rallidae (Rails, Gallinules, Coots)","LC"
"2948","Fulica leucoptera","White-winged Coot","Rallidae (Rails, Gallinules, Coots)","LC"
"2950","Fulica armillata","Red-gartered Coot","Rallidae (Rails, Gallinules, Coots)","LC"
"2951","Fulica rufifrons","Red-fronted Coot","Rallidae (Rails, Gallinules, Coots)","LC"
"3848","Aptenodytes patagonicus","King Penguin","Spheniscidae (Penguins)","LC"
"3849","Aptenodytes forsteri","Emperor Penguin","Spheniscidae (Penguins)","NT"
"3850","Pygoscelis papua","Gentoo Penguin","Spheniscidae (Penguins)","LC"
"3851","Pygoscelis adeliae","Adelie Penguin","Spheniscidae (Penguins)","LC"
"3852","Pygoscelis antarcticus","Chinstrap Penguin","Spheniscidae (Penguins)","LC"
"3857","Eudyptes chrysolophus","Macaroni Penguin","Spheniscidae (Penguins)","VU"
"32304","Eudyptes moseleyi","Northern Rockhopper Penguin","Spheniscidae (Penguins)","EN"
"32472","Eudyptes chrysocome","Southern Rockhopper Penguin","Spheniscidae (Penguins)","VU"
"3969","Oceanites oceanicus","Wilson's Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"30170","Garrodia nereis","Grey-backed Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3972","Pelagodroma marina","White-faced Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3974","Fregetta grallaria","White-bellied Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"3973","Fregetta tropica","Black-bellied Storm-petrel","Oceanitidae (Southern Storm-petrels)","LC"
"30005","Diomedea sanfordi","Northern Royal Albatross","Diomedeidae (Albatrosses)","EN"
"3954","Diomedea epomophora","Southern Royal Albatross","Diomedeidae (Albatrosses)","VU"
"3952","Diomedea exulans","Wandering Albatross","Diomedeidae (Albatrosses)","VU"
"3953","Diomedea amsterdamensis","Amsterdam Albatross","Diomedeidae (Albatrosses)","EN"
"3967","Phoebetria fusca","Sooty Albatross","Diomedeidae (Albatrosses)","EN"
"3971","Phoebetria palpebrata","Light-mantled Albatross","Diomedeidae (Albatrosses)","NT"
