"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"53","Nothura minor","Lesser Nothura","Tinamidae (Tinamous)","VU"
"55","Taoniscus nanus","Dwarf Tinamou","Tinamidae (Tinamous)","EN"
"128","Leipoa ocellata","Malleefowl","Megapodiidae (Megapodes)","VU"
"104","Crax alberti","Blue-billed Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"328","Odontophorus atrifrons","Black-fronted Wood-quail","Odontophoridae (New World quails)","VU"
"211","Arborophila crudigularis","Taiwan Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"144","Alectoris rufa","Red-legged Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"181","Pternistis ochropectus","Djibouti Francolin","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","CR"
"267","Syrmaticus ellioti","Elliot's Pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"300","Centrocercus urophasianus","Sage Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"302","Tympanuchus cupido","Greater Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"303","Tympanuchus pallidicinctus","Lesser Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"344","Chauna chavaria","Northern Screamer","Anhimidae (Screamers)","NT"
"353","Dendrocygna arborea","West Indian Whistling-duck","Anatidae (Ducks, Geese, Swans)","NT"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"360","Oxyura maccoa","Maccoa Duck","Anatidae (Ducks, Geese, Swans)","VU"
"359","Oxyura leucocephala","White-headed Duck","Anatidae (Ducks, Geese, Swans)","EN"
"382","Anser canagicus","Emperor Goose","Anatidae (Ducks, Geese, Swans)","NT"
"373","Anser cygnoid","Swan Goose","Anatidae (Ducks, Geese, Swans)","VU"
"377","Anser erythropus","Lesser White-fronted Goose","Anatidae (Ducks, Geese, Swans)","VU"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
"486","Somateria fischeri","Spectacled Eider","Anatidae (Ducks, Geese, Swans)","NT"
"485","Somateria spectabilis","King Eider","Anatidae (Ducks, Geese, Swans)","LC"
"484","Somateria mollissima","Common Eider","Anatidae (Ducks, Geese, Swans)","NT"
"487","Polysticta stelleri","Steller's Eider","Anatidae (Ducks, Geese, Swans)","VU"
"492","Melanitta perspicillata","Surf Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"112636","Melanitta fusca","Velvet Scoter","Anatidae (Ducks, Geese, Swans)","VU"
"112635","Melanitta stejnegeri","Siberian Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"32254","Melanitta deglandi","White-winged Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"112634","Melanitta nigra","Common Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"31681","Melanitta americana","Black Scoter","Anatidae (Ducks, Geese, Swans)","NT"
"494","Bucephala clangula","Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"495","Bucephala islandica","Barrow's Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"501","Mergus squamatus","Scaly-sided Merganser","Anatidae (Ducks, Geese, Swans)","EN"
"499","Mergus octosetaceus","Brazilian Merganser","Anatidae (Ducks, Geese, Swans)","CR"
"489","Histrionicus histrionicus","Harlequin Duck","Anatidae (Ducks, Geese, Swans)","LC"
"397","Tadorna ferruginea","Ruddy Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"9857","Sarkidiornis sylvicola","American Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"1016940","Sarkidiornis melanotos","African Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"411","Pteronetta hartlaubii","Hartlaub's Duck","Anatidae (Ducks, Geese, Swans)","LC"
"467","Marmaronetta angustirostris","Marbled Teal","Anatidae (Ducks, Geese, Swans)","VU"
"410","Asarcornis scutulata","White-winged Duck","Anatidae (Ducks, Geese, Swans)","EN"
"472","Aythya ferina","Common Pochard","Anatidae (Ducks, Geese, Swans)","VU"
"477","Aythya innotata","Madagascar Pochard","Anatidae (Ducks, Geese, Swans)","CR"
"478","Aythya baeri","Baer's Pochard","Anatidae (Ducks, Geese, Swans)","CR"
"476","Aythya nyroca","Ferruginous Duck","Anatidae (Ducks, Geese, Swans)","NT"
"482","Aythya marila","Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"407","Tachyeres patachonicus","Flying Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"405","Tachyeres leucocephalus","White-headed Steamerduck","Anatidae (Ducks, Geese, Swans)","VU"
"404","Tachyeres pteneres","Magellanic Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"406","Tachyeres brachypterus","Falkland Steamerduck","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"461","Sibirionetta formosa","Baikal Teal","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"441","Anas undulata","Yellow-billed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"442","Anas melleri","Meller's Duck","Anatidae (Ducks, Geese, Swans)","EN"
"439","Anas luzonica","Philippine Duck","Anatidae (Ducks, Geese, Swans)","VU"
"9819","Anas nesiotis","Campbell Teal","Anatidae (Ducks, Geese, Swans)","VU"
"3631","Tachybaptus pelzelnii","Madagascar Grebe","Podicipedidae (Grebes)","EN"
"3630","Tachybaptus rufolavatus","Alaotra Grebe","Podicipedidae (Grebes)","EX"
"3627","Rollandia microptera","Titicaca Grebe","Podicipedidae (Grebes)","EN"
"3638","Podiceps grisegena","Red-necked Grebe","Podicipedidae (Grebes)","LC"
"3640","Podiceps auritus","Horned Grebe","Podicipedidae (Grebes)","VU"
"3642","Podiceps andinus","Colombian Grebe","Podicipedidae (Grebes)","EX"
"1017061","Podiceps juninensis","Northern Silvery Grebe","Podicipedidae (Grebes)","NT"
"3644","Podiceps taczanowskii","Junin Grebe","Podicipedidae (Grebes)","EN"
"3645","Podiceps gallardoi","Hooded Grebe","Podicipedidae (Grebes)","CR"
"3771","Phoeniconaias minor","Lesser Flamingo","Phoenicopteridae (Flamingos)","NT"
"3772","Phoenicoparrus andinus","Andean Flamingo","Phoenicopteridae (Flamingos)","VU"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"2465","Columba torringtoniae","Sri Lanka Woodpigeon","Columbidae (Pigeons, Doves)","VU"
"2498","Streptopelia turtur","European Turtle-dove","Columbidae (Pigeons, Doves)","VU"
"2475","Patagioenas leucocephala","White-crowned Pigeon","Columbidae (Pigeons, Doves)","NT"
"2581","Leptotila wellsi","Grenada Dove","Columbidae (Pigeons, Doves)","CR"
"2440","Eleothreptus anomalus","Sickle-winged Nightjar","Caprimulgidae (Nightjars)","NT"
"32692","Antrostomus vociferus","Eastern Whip-poor-will","Caprimulgidae (Nightjars)","NT"
"2378","Antrostomus carolinensis","Chuck-will's-widow","Caprimulgidae (Nightjars)","NT"
"30057","Aerodramus bartschi","Mariana Swiftlet","Apodidae (Swifts)","EN"
"1711","Aerodramus francicus","Mascarene Swiftlet","Apodidae (Swifts)","NT"
"1710","Aerodramus elaphrus","Seychelles Swiftlet","Apodidae (Swifts)","VU"
"1841","Campylopterus phainopeplus","Santa Marta Sabrewing","Trochilidae (Hummingbirds)","CR"
"1941","Amazilia boucardi","Mangrove Hummingbird","Trochilidae (Hummingbirds)","EN"
