"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"13","Tinamus osgoodi","Black Tinamou","Tinamidae (Tinamous)","VU"
"29","Crypturellus kerriae","Choco Tinamou","Tinamidae (Tinamous)","VU"
"116","Macrocephalon maleo","Maleo","Megapodiidae (Megapodes)","EN"
"127","Eulipoa wallacei","Moluccan Scrubfowl","Megapodiidae (Megapodes)","VU"
"94","Penelopina nigra","Highland Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"73","Penelope barbata","Bearded Guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"74","Penelope ortoni","Baudo Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"81","Penelope albipennis","White-winged Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"64","Ortalis erythroptera","Rufous-headed Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","VU"
"104","Crax alberti","Blue-billed Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"1016864","Pauxi unicornis","Horned Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"1016865","Pauxi koepckeae","Sira Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"101","Pauxi pauxi","Helmeted Curassow","Cracidae (Guans, Chachalacas, Curassows)","EN"
"330","Odontophorus melanonotus","Dark-backed Wood-quail","Odontophoridae (New World quails)","VU"
"332","Odontophorus dialeucos","Tacarcuna Wood-quail","Odontophoridae (New World quails)","VU"
"341","Cyrtonyx ocellatus","Ocellated Quail","Odontophoridae (New World quails)","VU"
"218","Arborophila gingica","Collared Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"284","Afropavo congensis","Congo Peafowl","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"281","Polyplectron napoleonis","Palawan Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"203","Anurophasis monorthonyx","Snow Mountain Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"235","Ophrysia superciliosa","Himalayan Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","CR"
"239","Tragopan blythii","Blyth's Tragopan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"294","Lyrurus mlokosiewiczi","Caucasian Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"300","Centrocercus urophasianus","Sage Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"30035","Centrocercus minimus","Gunnison Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"302","Tympanuchus cupido","Greater Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"387","Branta ruficollis","Red-breasted Goose","Anatidae (Ducks, Geese, Swans)","VU"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
